Category,Service,Platform,Solution,Description
Database,Graph Database,AWS,Amazon Neptune,https://aws.amazon.com/neptune/
Database,Graph Database,IBM Cloud,IBM Graph,https://www.ibm.com/analytics/ca/en/technology/cloud-data-services/graph/
Database,Graph Database,Oracle Cloud,Graph Database,https://www.oracle.com/database/graph/
Database,Graph Database,Alibaba Cloud,GraphDB (GDB) (Coming Soon...),https://www.alibabacloud.com/product/databases
Database,Graph Database,Huawei Cloud,FunctionGraph,https://www.huaweicloud.com/intl/en-us/product/functiongraph.html
Database,Graph Database,Huawei Cloud,Graph Engine Service (GES),https://www.huaweicloud.com/intl/en-us/product/ges.html
Database,In-Memory Data Store,AWS,Amazon ElastiCache,https://aws.amazon.com/elasticache/
Database,In-Memory Data Store,AWS,Amazon MemoryDB for Redis,https://aws.amazon.com/memorydb/
Database,In-Memory Data Store,Microsoft Azure,Azure Cache for Redis,https://azure.microsoft.com/en-us/services/cache/
Database,In-Memory Data Store,Google Cloud Platform,Cloud MemoryStore,https://cloud.google.com/memorystore/
Database,In-Memory Data Store,IBM Cloud,Databases for Redis,https://cloud.ibm.com/catalog/services/databases-for-redis
Database,In-Memory Data Store,Alibaba Cloud,ApsaraDB for Redis,https://www.alibabacloud.com/product/apsaradb-for-redis
Database,In-Memory Data Store,Huawei Cloud,GaussDB(for Redis),https://www.huaweicloud.com/intl/en-us/product/gaussdbforredis.html
Database,In-Memory Data Store,Huawei Cloud,Distributed Cache Service for Redis,https://www.huaweicloud.com/intl/en-us/product/dcs.html
Database,Data Warehousing,AWS,Amazon Redshift,https://aws.amazon.com/redshift/
Database,Data Warehousing,Microsoft Azure,Azure Synapse Analytics,https://azure.microsoft.com/services/synapse-analytics/
Database,Data Warehousing,Google Cloud Platform,BigQuery,https://cloud.google.com/bigquery/
Database,Data Warehousing,IBM Cloud,Db2 Warehouse,https://cloud.ibm.com/catalog/services/db2-warehouse
Database,Data Warehousing,Oracle Cloud,Exadata Cloud Service,http://www.oracle.com/us/corporate/features/exadata-service/index.html
Database,Data Warehousing,Oracle Cloud,Autonomous Data Warehouse Cloud,https://cloud.oracle.com/en_US/datawarehouse/features
Database,Data Warehousing,Alibaba Cloud,Alibaba MaxCompute ODPS,https://www.alibabacloud.com/product/maxcompute
Database,Data Warehousing,Huawei Cloud,GaussDB(DWS),https://www.huaweicloud.com/intl/en-us/product/dws.html
Migration Services,Database Migration Services,AWS,AWS Database Migration Service,https://aws.amazon.com/dms/
Migration Services,Database Migration Services,AWS,AWS Migration Hub,https://aws.amazon.com/migration-hub/
Migration Services,Database Migration Services,Microsoft Azure,Azure Database Migration Service,https://azure.microsoft.com/en-us/services/database-migration/
Migration Services,Database Migration Services,Google Cloud Platform,Database Migration Service,https://cloud.google.com/database-migration
Migration Services,Database Migration Services,IBM Cloud,Lift CLI,https://www.lift-cli.cloud.ibm.com/#docs
Migration Services,Database Migration Services,IBM Cloud,VPC+ Cloud Migration,https://cloud.ibm.com/catalog/services/vpc-cloud-migration
Migration Services,Database Migration Services,IBM Cloud,Rackware RMM,https://cloud.ibm.com/catalog/content/Rackware-Golden-Template-1.11-06545490-596b-4133-8516-8425a11b3265-global
Migration Services,Database Migration Services,Oracle Cloud,Oracle Lift Services,https://www.oracle.com/cloud/cloud-lift/
Migration Services,Database Migration Services,Alibaba Cloud,Data Transmission Service,https://www.alibabacloud.com/product/data-transmission-service
Migration Services,Database Migration Services,Huawei Cloud,Data Replication Service(DRS),https://www.huaweicloud.com/intl/en-us/product/drs.html
Migration Services,Server Migration Services,AWS,AWS Server Migration Service,https://aws.amazon.com/server-migration-service/
Migration Services,Server Migration Services,AWS,AWS Application Migration Service,https://aws.amazon.com/application-migration-service/
Migration Services,Server Migration Services,AWS,AWS Migration Hub,https://aws.amazon.com/migration-hub/
Migration Services,Server Migration Services,Microsoft Azure,Site Recovery,https://docs.microsoft.com/azure/site-recovery/site-recovery-migrate-to-azure
Migration Services,Server Migration Services,Microsoft Azure,Azure App Service migration,https://azure.microsoft.com/en-us/services/app-service/migration-tools/
Migration Services,Server Migration Services,Google Cloud Platform,Migrate for Compute Engine,https://cloud.google.com/migrate/compute-engine
Migration Services,Server Migration Services,Google Cloud Platform,Migrate to Containers,https://cloud.google.com/migrate/containers
Migration Services,Server Migration Services,Google Cloud Platform,Application Migration,https://cloud.google.com/solutions/application-migration
Migration Services,Server Migration Services,IBM Cloud,VPC+ Cloud Migration,https://cloud.ibm.com/catalog/services/vpc-cloud-migration
Migration Services,Server Migration Services,IBM Cloud,Rackware RMM,https://cloud.ibm.com/catalog/content/Rackware-Golden-Template-1.11-06545490-596b-4133-8516-8425a11b3265-global
Migration Services,Server Migration Services,Alibaba Cloud,Cloud Migration Tool,https://www.alibabacloud.com/help/doc-detail/62394.htm
Migration Services,Server Migration Services,Huawei Cloud,Server Migration Service,https://www.huaweicloud.com/intl/en-us/product/sms.html
Migration Services,Small Scale Data Transfer Service,AWS,AWS Snowball,https://aws.amazon.com/snowball
Migration Services,Small Scale Data Transfer Service,AWS,AWS Transfer Family,https://aws.amazon.com/aws-transfer-family/
Migration Services,Small Scale Data Transfer Service,Microsoft Azure,Azure Import/Export,https://azure.microsoft.com/pricing/details/storage-import-export/
Migration Services,Small Scale Data Transfer Service,Google Cloud Platform,Storage Transfer Service,https://cloud.google.com/storage-transfer-service
Migration Services,Small Scale Data Transfer Service,IBM Cloud,Data Transfer Service,https://cloud.ibm.com/docs/infrastructure/DataTransferService?topic=DataTransferService-about
Migration Services,Small Scale Data Transfer Service,IBM Cloud,Aspera High-speed Transfer,https://cloud.ibm.com/docs/services/cloud-object-storage?topic=cloud-object-storage-aspera
Migration Services,Small Scale Data Transfer Service,Oracle Cloud,Data Transfer Services - Hard Disk Import,https://www.oracle.com/cloud/storage/data-transfer.html
Migration Services,Small Scale Data Transfer Service,Huawei Cloud,Data Express Service - Disk,https://www.huaweicloud.com/intl/en-us/product/des.html
Migration Services,Large Scale Data Transfer Solution (Petabyte Scale),AWS,AWS Snowball,https://aws.amazon.com/snowball/
Migration Services,Large Scale Data Transfer Solution (Petabyte Scale),AWS,AWS DataSync,https://aws.amazon.com/datasync/
Migration Services,Large Scale Data Transfer Solution (Petabyte Scale),Microsoft Azure,Azure Data Box,https://azure.microsoft.com/en-us/services/databox/
Migration Services,Large Scale Data Transfer Solution (Petabyte Scale),Google Cloud Platform,Transfer Appliance,https://cloud.google.com/transfer-appliance/
Migration Services,Large Scale Data Transfer Solution (Petabyte Scale),IBM Cloud,Mass Data Migration Service,https://cloud.ibm.com/docs/infrastructure/mass-data-migration?topic=mass-data-migration-about
Migration Services,Large Scale Data Transfer Solution (Petabyte Scale),Oracle Cloud,Data Transfer Services - Storage applicance import,https://www.oracle.com/cloud/storage/data-transfer.html
Migration Services,Large Scale Data Transfer Solution (Petabyte Scale),Alibaba Cloud,Data Transport,https://www.alibabacloud.com/product/data-transport
Migration Services,Large Scale Data Transfer Solution (Terabyte Scale),AWS,AWS Snowcone,https://aws.amazon.com/snowcone/
Migration Services,Large Scale Data Transfer Solution (Terabyte Scale),AWS,AWS Snowball Edge Compute Optimized,https://aws.amazon.com/snowball/
Migration Services,Large Scale Data Transfer Solution (Terabyte Scale),AWS,AWS DataSync,https://aws.amazon.com/datasync/
Migration Services,Large Scale Data Transfer Solution (Terabyte Scale),Microsoft Azure,Azure Data Box,https://azure.microsoft.com/en-us/services/databox/
Migration Services,Large Scale Data Transfer Solution (Terabyte Scale),Google Cloud Platform,Transfer Appliance,https://cloud.google.com/transfer-appliance/
Migration Services,Large Scale Data Transfer Solution (Terabyte Scale),IBM Cloud,Mass Data Migration Service,https://cloud.ibm.com/docs/infrastructure/mass-data-migration?topic=mass-data-migration-about
Migration Services,Large Scale Data Transfer Solution (Terabyte Scale),Oracle Cloud,Data Transfer Services - Storage applicance import,https://cloud.oracle.com/en_US/storage/data-transfer-services/features
Migration Services,Large Scale Data Transfer Solution (Terabyte Scale),Alibaba Cloud,Data Transport,https://www.alibabacloud.com/product/data-transport
Migration Services,Large Scale Data Transfer Solution (Terabyte Scale),Huawei Cloud,Data Express Service - Teleport,https://www.huaweicloud.com/intl/en-us/product/des.html
Migration Services,Large Scale Data Transfer Solution (Exabyte Scale),AWS,AWS Snowmobile,https://aws.amazon.com/snowmobile/
Migration Services,Large Scale Data Transfer Solution (Exabyte Scale),Oracle Cloud,Data Transfer Services,https://www.oracle.com/cloud/storage/data-transfer.html
Application Discovery Services,Application Discovery Services,AWS,Application Discovery Service,https://aws.amazon.com/application-discovery/
Application Discovery Services,Application Discovery Services,Microsoft Azure,Azure Active Directory,https://docs.microsoft.com/azure/active-directory/manage-apps/cloud-app-discovery
Networking & Content Delivery,Virtual Networking,AWS,Amazon VPC,https://aws.amazon.com/vpc/
Networking & Content Delivery,Virtual Networking,Microsoft Azure,Azure VNet,https://azure.microsoft.com/services/virtual-network/
Networking & Content Delivery,Virtual Networking,Google Cloud Platform,Virtual Private Cloud,https://cloud.google.com/vpc
Networking & Content Delivery,Virtual Networking,IBM Cloud,IBM Cloud VPC,https://cloud.ibm.com/docs/vpc?topic=vpc-getting-started
Networking & Content Delivery,Virtual Networking,Oracle Cloud,Oracle Virtual Cloud Network,https://cloud.oracle.com/networking
Networking & Content Delivery,Virtual Networking,Alibaba Cloud,Virtual Private Cloud,https://www.alibabacloud.com/product/vpc
Networking & Content Delivery,Virtual Networking,Huawei Cloud,Virtual Private Cloud,https://www.huaweicloud.com/intl/en-us/product/vpc.html
Networking & Content Delivery,Virtual network connectivity,AWS,AWS Transit Gateway,https://aws.amazon.com/transit-gateway/
Networking & Content Delivery,Virtual network connectivity,AWS,AWS VPC peering,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-peering.html
Networking & Content Delivery,Virtual network connectivity,Microsoft Azure,Azure VNet Peering,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-network-peering-overview
Networking & Content Delivery,Virtual network connectivity,Google Cloud Platform,Google VPC Peering,https://cloud.google.com/vpc/docs/vpc-peering/
Networking & Content Delivery,Virtual network connectivity,IBM Cloud,Transit Gateway,https://cloud.ibm.com/interconnectivity/transit/provision
Networking & Content Delivery,Virtual network connectivity,Oracle Cloud,Oracle Dynamic Routing Gateway,https://docs.oracle.com/en-us/iaas/Content/Network/Tasks/managingDRGs.htm
Networking & Content Delivery,Network Gateway,AWS,AWS Site-to-Site VPN,https://aws.amazon.com/vpn/site-to-site-vpn/
Networking & Content Delivery,Network Gateway,AWS,AWS Client VPN,https://aws.amazon.com/vpn/client-vpn/
Networking & Content Delivery,Network Gateway,Microsoft Azure,Azure VPN Gateway,https://azure.microsoft.com/pricing/details/vpn-gateway/
Networking & Content Delivery,Network Gateway,Google Cloud Platform,Cloud VPN,https://cloud.google.com/products/networking/
Networking & Content Delivery,Network Gateway,IBM Cloud,Classic IPSEC-VPN,https://cloud.ibm.com/docs/infrastructure/iaas-vpn?topic=VPN-about-iaas-vpn
Networking & Content Delivery,Network Gateway,IBM Cloud,VPN gateway for VPC,https://cloud.ibm.com/docs/vpc-on-classic-network?topic=vpc-on-classic-network---using-vpn-with-your-vpc
Networking & Content Delivery,Network Gateway,Oracle Cloud,Oracle VPN Connect,https://www.oracle.com/cloud/networking/vpn-connect.html
Networking & Content Delivery,Network Gateway,Alibaba Cloud,VPN Gateway,https://www.alibabacloud.com/product/vpn-gateway
Networking & Content Delivery,Network Gateway,Huawei Cloud,Virtual Private Network,https://www.huaweicloud.com/intl/en-us/product/vpn.html
Networking & Content Delivery,Content Delivery Network,AWS,Amazon CloudFront,https://aws.amazon.com/documentation/elastic-beanstalk/
Networking & Content Delivery,Content Delivery Network,Microsoft Azure,Azure CDN,https://azure.microsoft.com/services/cdn/
Networking & Content Delivery,Content Delivery Network,Microsoft Azure,Azure Front Door,https://azure.microsoft.com/services/frontdoor/#overview
Networking & Content Delivery,Content Delivery Network,Google Cloud Platform,Cloud CDN,https://cloud.google.com/cdn/
Networking & Content Delivery,Content Delivery Network,IBM Cloud,Content Delivery Network,https://cloud.ibm.com/docs/infrastructure/CDN?topic=CDN-about-content-delivery-networks-cdn-
Networking & Content Delivery,Content Delivery Network,Alibaba Cloud,Alibaba Content Delivery Network,https://www.alibabacloud.com/product/cdn
Networking & Content Delivery,Content Delivery Network,Huawei Cloud,Huawei Cloud CDN,https://www.huaweicloud.com/intl/en-us/product/cdn.html
Networking,Networking & Content Delivery,AWS,Amazon Route 53,https://aws.amazon.com/route53/
Networking,Networking & Content Delivery,Microsoft Azure,Azure DNS,https://azure.microsoft.com/services/dns/
Networking,Networking & Content Delivery,Google Cloud Platform,Cloud DNS,https://cloud.google.com/dns/
Networking,Networking & Content Delivery,IBM Cloud,Internet Services,https://cloud.ibm.com/docs/infrastructure/cis?topic=cis-about-ibm-cloud-internet-services-cis
Networking,Networking & Content Delivery,IBM Cloud,DNS Services,https://cloud.ibm.com/catalog/services/dns-services
Networking,Networking & Content Delivery,Oracle Cloud,Oracle DNS,https://www.oracle.com/cloud/networking/dns/
Networking,Networking & Content Delivery,Alibaba Cloud,Alibaba Cloud DNS,https://www.alibabacloud.com/product/dns
Networking,Networking & Content Delivery,Huawei Cloud,Domain Name Service,https://www.huaweicloud.com/intl/en-us/product/dns.html
Networking,Global Traffic Management,AWS,Amazon Route 53 Traffic Flow,https://aws.amazon.com/blogs/aws/new-route-53-traffic-flow/
Networking,Global Traffic Management,AWS,AWS Global Accelerator,https://aws.amazon.com/global-accelerator/
Networking,Global Traffic Management,AWS,AWS App Mesh,https://aws.amazon.com/app-mesh/
Networking,Global Traffic Management,Microsoft Azure,Azure Traffic Manager,https://azure.microsoft.com/services/traffic-manager/
Networking,Global Traffic Management,IBM Cloud,Internet Services,https://cloud.ibm.com/docs/infrastructure/cis?topic=cis-about-ibm-cloud-internet-services-cis
Networking,Global Traffic Management,Oracle Cloud,Oracle Cloud Infrastructure Traffic Management,https://www.oracle.com/cloud/networking/traffic-management.html
Networking,Global Traffic Management,Huawei Cloud,Domain Name Service,https://www.huaweicloud.com/intl/en-us/product/dns.html
Hybrid Cloud,Hybrid Cloud,AWS,AWS Outposts,https://aws.amazon.com/outposts/
Hybrid Cloud,Hybrid Cloud,Microsoft Azure,Azure Arc,https://azure.microsoft.com/services/azure-arc/
Hybrid Cloud,Hybrid Cloud,Google Cloud Platform,Google Anthos,https://cloud.google.com/anthos
Hybrid Cloud,Hybrid Cloud,IBM Cloud,Satellite,https://cloud.ibm.com/docs/satellite?topic=satellite-getting-started
Hybrid Cloud,Hybrid Cloud,IBM Cloud,Secure Gateway,https://cloud.ibm.com/catalog/services/secure-gateway
Hybrid Cloud,Hybrid Cloud,Oracle Cloud,Oracle Exadata Cloud@Customer,https://www.oracle.com/engineered-systems/exadata/cloud-at-customer/
Hybrid Cloud,Hybrid Cloud,Oracle Cloud,Oracle Roving Edge Infrastructure,https://www.oracle.com/cloud/roving-edge-infrastructure/
Hybrid Cloud,Hybrid Cloud,Huawei Cloud,Huawei Cloud CLOUD Stack,https://www.huaweicloud.com/intl/en-us/product/huaweicloudstack.html
Networking & Content Delivery,Private Connectivity,AWS,AWS Direct Connect,https://aws.amazon.com/directconnect/
Networking & Content Delivery,Private Connectivity,AWS,AWS Private Link,https://aws.amazon.com/about-aws/whats-new/2018/04/introducing-aws-privatelink-in-the-eu-paris-region/
Networking & Content Delivery,Private Connectivity,Microsoft Azure,Azure Express Route,https://azure.microsoft.com/services/expressroute/
Networking & Content Delivery,Private Connectivity,Google Cloud Platform,Cloud Hybrid Connectivity,https://cloud.google.com/hybrid-connectivity
Networking & Content Delivery,Private Connectivity,IBM Cloud,Direct Link,https://cloud.ibm.com/docs/infrastructure/direct-link?topic=direct-link-overview-of-direct-link-offerings
Networking & Content Delivery,Private Connectivity,Oracle Cloud,Oracle Cloud Infrastructure FastConnect,https://www.oracle.com/cloud/networking/fastconnect/
Networking & Content Delivery,Private Connectivity,Alibaba Cloud,Express Connect,https://www.alibabacloud.com/product/express-connect
Networking & Content Delivery,Private Connectivity,Huawei Cloud,Direct Connect,https://www.huaweicloud.com/intl/en-us/product/dc.html
Networking & Content Delivery,Load Balancers,AWS,Elastic Load Balancing,https://aws.amazon.com/elasticloadbalancing/
Networking & Content Delivery,Load Balancers,Microsoft Azure,Azure Load Balancer,https://azure.microsoft.com/services/load-balancer/
Networking & Content Delivery,Load Balancers,Google Cloud Platform,Cloud Load Balancing,https://cloud.google.com/load-balancing/
Networking & Content Delivery,Load Balancers,IBM Cloud,IBM Cloud Load Balancers,https://cloud.ibm.com/docs/vpc?topic=vpc-nlb-vs-elb
Networking & Content Delivery,Load Balancers,IBM Cloud,IBM Cloud Load Balancer for VPC,https://cloud.ibm.com/catalog/infrastructure/load-balancer-group
Networking & Content Delivery,Load Balancers,IBM Cloud,Citrix NetScaler VPX,https://cloud.ibm.com/catalog/infrastructure/load-balancer-group
Networking & Content Delivery,Load Balancers,Oracle Cloud,Oracle Cloud Infrastructure Load Balancing,https://www.oracle.com/cloud/networking/load-balancing/
Networking & Content Delivery,Load Balancers,Alibaba Cloud,Server Load Balancer,https://www.alibabacloud.com/product/server-load-balancer
Networking & Content Delivery,Load Balancers,Huawei Cloud,Elastic Load Balance,https://www.huaweicloud.com/intl/en-us/product/elb.html
Developer Tools,Cloud Software Development Kit,AWS,AWS Cloud9,https://aws.amazon.com/cloud9/
Developer Tools,Cloud Software Development Kit,AWS,AWS Code Star,https://aws.amazon.com/codestar/
Developer Tools,Cloud Software Development Kit,AWS,AWS CodeCommit,https://aws.amazon.com/codecommit/
Developer Tools,Cloud Software Development Kit,AWS,AWS CodeBuild,https://aws.amazon.com/codebuild/
Developer Tools,Cloud Software Development Kit,AWS,AWS CodeDeploy,https://aws.amazon.com/codedeploy/
Developer Tools,Cloud Software Development Kit,AWS,AWS CodePipeline,https://aws.amazon.com/codepipeline
Developer Tools,Cloud Software Development Kit,AWS,AWS X-Ray,https://aws.amazon.com/xray/
Developer Tools,Cloud Software Development Kit,AWS,Amazon DevOps Guru,https://aws.amazon.com/devops-guru/
Developer Tools,Cloud Software Development Kit,AWS,Amazon CodeGuru,https://aws.amazon.com/codeguru/
Developer Tools,Cloud Software Development Kit,AWS,AWS Fault Injection Simulator,https://aws.amazon.com/fis/
Developer Tools,Cloud Software Development Kit,Microsoft Azure,Azure Boards,https://azure.microsoft.com/services/devops/boards/
Developer Tools,Cloud Software Development Kit,Microsoft Azure,Azure Pipelines,https://azure.microsoft.com/services/devops/pipelines/
Developer Tools,Cloud Software Development Kit,Microsoft Azure,Azure Repos,https://azure.microsoft.com/services/devops/repos/
Developer Tools,Cloud Software Development Kit,Microsoft Azure,Azure Test Plans,https://azure.microsoft.com/services/devops/test-plans/
Developer Tools,Cloud Software Development Kit,Microsoft Azure,Azure Artifacts,https://azure.microsoft.com/services/devops/artifacts/
Developer Tools,Cloud Software Development Kit,Google Cloud Platform,Cloud Source Repositories,https://cloud.google.com/source-repositories/
Developer Tools,Cloud Software Development Kit,IBM Cloud,Continuous Delivery,https://cloud.ibm.com/docs/services/ContinuousDelivery?topic=ContinuousDelivery-getting-started
Developer Tools,Cloud Software Development Kit,IBM Cloud,DevOps Insights,https://cloud.ibm.com/docs/services/DevOpsInsights?topic=DevOpsInsights-getting-started#getting-started
Developer Tools,Cloud Software Development Kit,IBM Cloud,Globalization Pipeline,https://cloud.ibm.com/docs/services/GlobalizationPipeline?topic=GlobalizationPipeline-globalizationpipeline#globalizationpipeline
Developer Tools,Cloud Software Development Kit,Oracle Cloud,Oracle Visual Builder Studio,https://www.oracle.com/application-development/visual-builder-studio/
Developer Tools,Cloud Software Development Kit,Huawei Cloud,DevStar,https://developer.huaweicloud.com/resource/devstar.html
Developer Tools,Cloud Software Development Kit,AWS,AWS Tools & SDKs,https://aws.amazon.com/tools/
Developer Tools,Cloud Software Development Kit,AWS,AWS Cloud Development Kit,https://aws.amazon.com/cdk/
Developer Tools,Cloud Software Development Kit,Microsoft Azure,Azure SDK Visual Studio,https://www.visualstudio.com/team-services/
Developer Tools,Cloud Software Development Kit,Google Cloud Platform,Cloud SDK Cloud Tools for IntelliJ,
Developer Tools,Cloud Software Development Kit,Google Cloud Platform,Cloud Tools for Android Studio,
Developer Tools,Cloud Software Development Kit,Google Cloud Platform,Cloud Tools for Powershell,
Developer Tools,Cloud Software Development Kit,Google Cloud Platform,Google Plugin for Eclipse,
Developer Tools,Cloud Software Development Kit,IBM Cloud,IBM Cloud Developer Tool,https://marketplace.visualstudio.com/items?itemName=IBM.ibm-developer
Developer Tools,Cloud Software Development Kit,IBM Cloud,Continuous Delivery,https://cloud.ibm.com/docs/services/ContinuousDelivery?topic=ContinuousDelivery-getting-started
Developer Tools,Cloud Software Development Kit,Oracle Cloud,Oracle API Catalog,https://www.oracle.com/middleware/technologies/api-catalog.html
Developer Tools,Cloud Software Development Kit,Oracle Cloud,Toolkit for Eclipse,https://docs.oracle.com/en-us/iaas/Content/API/SDKDocs/eclipsetoolkit.htm
Developer Tools,Cloud Software Development Kit,Oracle Cloud,Oracle Developer Tools for Visual Studio,https://docs.oracle.com/en-us/iaas/Content/API/SDKDocs/visualstudio_intro.htm#Oracle_Developer_Tools_for_Visual_Studio
Developer Tools,Cloud Software Development Kit,Huawei Cloud,HUAWEI CLOUD SDKs,https://developer.huaweicloud.com/intl/en-us/sdk?all
Management Tools,Server Management Services,AWS,Amazon EC2 Systems Manager,https://aws.amazon.com/documentation/elastic-beanstalk/
Management Tools,Server Management Services,Microsoft Azure,Azure Operational Insights ,https://azure.microsoft.com/resources/videos/azure-operational-insights-overview/
Management Tools,Server Management Services,Oracle Cloud,Oracle Management Cloud,https://cloud.oracle.com/management
Management Tools,Cloud Deployment Templates/ Infra as Code,AWS,AWS CloudFormation,https://aws.amazon.com/cloudformation/
Management Tools,Cloud Deployment Templates/ Infra as Code,AWS,AWS OpsWorks,https://aws.amazon.com/opsworks/
Management Tools,Cloud Deployment Templates/ Infra as Code,Microsoft Azure,Azure Resource Manager,https://azure.microsoft.com/features/resource-manager/
Management Tools,Cloud Deployment Templates/ Infra as Code,Microsoft Azure,Azure Building Blocks,https://azure.microsoft.com/resources/videos/azure-building-blocks-20-azbb/
Management Tools,Cloud Deployment Templates/ Infra as Code,Google Cloud Platform,Cloud Resource Manager,https://cloud.google.com/resource-manager/
Management Tools,Cloud Deployment Templates/ Infra as Code,Google Cloud Platform,Cloud Deployment Manager,https://cloud.google.com/deployment-manager/
Management Tools,Cloud Deployment Templates/ Infra as Code,IBM Cloud,Schematics,https://cloud.ibm.com/docs/schematics?topic=schematics-about-schematics
Management Tools,Cloud Deployment Templates/ Infra as Code,Oracle Cloud,Oracle Resource Manager,https://www.oracle.com/devops/resource-manager/
Management Tools,Cloud Deployment Templates/ Infra as Code,Alibaba Cloud,Resource Orchestration Service,https://www.alibabacloud.com/product/ros
Management Tools,Logging & Monitoring,AWS,Amazon CloudWatch,https://aws.amazon.com/cloudwatch/
Management Tools,Logging & Monitoring,AWS,AWS CloudTrail,https://aws.amazon.com/cloudtrail/
Management Tools,Logging & Monitoring,AWS,AWS X-Ray,https://aws.amazon.com/xray/
Management Tools,Logging & Monitoring,AWS,AWS Distro for OpenTelemetry (Preview),https://aws.amazon.com/otel/
Management Tools,Logging & Monitoring,AWS,Amazon Managed Service for Grafana (Preview),https://aws.amazon.com/grafana/
Management Tools,Logging & Monitoring,AWS,Amazon Managed Service for Prometheus (Preview),https://aws.amazon.com/prometheus/
Management Tools,Logging & Monitoring,Microsoft Azure,Log Analytics,https://azure.microsoft.com/services/log-analytics/
Management Tools,Logging & Monitoring,Microsoft Azure,Azure portal,https://portal.azure.com/#
Management Tools,Logging & Monitoring,Microsoft Azure,Application Insights,https://azure.microsoft.com/services/application-insights/
Management Tools,Logging & Monitoring,Google Cloud Platform,Google StackDriver,https://cloud.google.com/stackdriver/
Management Tools,Logging & Monitoring,Google Cloud Platform,Monitoring,https://cloud.google.com/monitoring/
Management Tools,Logging & Monitoring,Google Cloud Platform,Logging,https://cloud.google.com/logging/
Management Tools,Logging & Monitoring,Google Cloud Platform,Error Reporting,https://cloud.google.com/error-reporting/
Management Tools,Logging & Monitoring,Google Cloud Platform,Trace,https://cloud.google.com/trace/
Management Tools,Logging & Monitoring,Google Cloud Platform,Debugger,https://cloud.google.com/debugger/
Management Tools,Logging & Monitoring,IBM Cloud,Monitoring,https://cloud.ibm.com/catalog/services/monitoring
Management Tools,Logging & Monitoring,IBM Cloud,IBM Cloud Log Analysis with LogDNA,https://www.ibm.com/cloud/log-analysis
Management Tools,Logging & Monitoring,IBM Cloud,IBM Cloud Activity Tracker with LogDNA,https://www.ibm.com/cloud/blog/track-your-cloud-activities-using-ibm-cloud-activity-tracker-with-logdna
Management Tools,Logging & Monitoring,IBM Cloud,IBM Cloud Monitoring with Sysdig,https://www.ibm.com/cloud/sysdig
Management Tools,Logging & Monitoring,Oracle Cloud,Oracle Cloud Infrastructure Logging,https://www.oracle.com/devops/logging/
Management Tools,Logging & Monitoring,Oracle Cloud,Oracle Logging Analytics,https://www.oracle.com/manageability/logging-analytics/
Management Tools,Logging & Monitoring,Oracle Cloud,Oracle Cloud Infrastructure Monitoring,https://www.oracle.com/devops/monitoring/
Management Tools,Logging & Monitoring,Oracle Cloud,Application Performance Monitoring (limited availability),
Management Tools,Logging & Monitoring,Oracle Cloud,Oracle Service Connector Hub,https://www.oracle.com/devops/service-connector-hub/
Management Tools,Logging & Monitoring,Oracle Cloud,Management Cloud,
Management Tools,Logging & Monitoring,Alibaba Cloud,CloudMonitor,https://www.alibabacloud.com/product/cloud-monitor
Management Tools,Logging & Monitoring,Alibaba Cloud,ActionTrail,https://www.alibabacloud.com/product/actiontrail
Management Tools,Logging & Monitoring,Alibaba Cloud,Application Real-Time Monitoring Service,https://www.alibabacloud.com/product/arms
Management Tools,Logging & Monitoring,Huawei Cloud,LTS,https://www.huaweicloud.com/intl/en-us/product/lts.html
Management Tools,Logging & Monitoring,Huawei Cloud,AOM,https://www.huaweicloud.com/intl/en-us/product/aom.html
Management Tools,Logging & Monitoring,Huawei Cloud,CES,https://www.huaweicloud.com/intl/en-us/product/ces.html
Management Tools,Resource / Configuration Inventory,AWS,AWS Config,https://aws.amazon.com/config/
Management Tools,Resource / Configuration Inventory,AWS,AWS License Manager,https://aws.amazon.com/license-manager/
Management Tools,Resource / Configuration Inventory,Microsoft Azure,Azure portal (audit logs),
Management Tools,Resource / Configuration Inventory,Google Cloud Platform,Cloud Security Scanner,
Management Tools,Resource / Configuration Inventory,Google Cloud Platform,Cloud Data Loss Prevention Api,https://cloud.google.com/dlp/
Management Tools,Resource / Configuration Inventory,Google Cloud Platform,Access Transparency (Beta),https://cloud.google.com/access-transparency/
Management Tools,Resource / Configuration Inventory,IBM Cloud,App Configuration,https://cloud.ibm.com/catalog/services/app-configuration
Management Tools,Resource / Configuration Inventory,Oracle Cloud,Oracle Cloud Governance Services,https://cloud.oracle.com/en_US/governance
Management Tools,Resource / Configuration Inventory,Alibaba Cloud,Alibaba Log Service,https://www.alibabacloud.com/product/log-service
Management Tools,Server Automation,AWS,AWS OpsWorks,https://aws.amazon.com/opsworks/
Management Tools,Server Automation,Microsoft Azure,Resource Manager,https://azure.microsoft.com/features/resource-manager/
Management Tools,Server Automation,Microsoft Azure,Azure Automation,https://docs.microsoft.com/azure/automation/
Management Tools,Server Automation,Microsoft Azure,VM Extentions,https://docs.microsoft.com/azure/virtual-machines/virtual-machines-windows-extensions-features
Management Tools,Server Automation,Oracle Cloud,Oracle Cloud Infrastructure OS Management,https://docs.oracle.com/en-us/iaas/os-management/osms/index.htm
Management Tools,Server Automation,Oracle Cloud,Oracle Resource Manager,https://www.oracle.com/devops/resource-manager/
